python高级软件开发工程师,1.5-3.5万/月,上海-闵行区  |  5-7年经验  |  本科  |  招若干人  |  06-10发布,"
        工作职责：1、负责AI深度学习、机器学习及机器视觉相关产品的技术调研分析、设计等2、负责AI深度学习、机器学习及机器视觉相关产品的代码实现、研发、自动化测试等3、参与相关的架构设计、代码Review、产品软件系统的性能优化等岗位要求：1. 本科及以上学历，计算机、电子工程或者通信等专业，5年以上工作经验2. 扎实的计算机基础，熟练掌握数据结构、算法等知识3. 精通Python语言，熟悉C++或Java其中一种语言，足够的代码量积累，代码风格良好4. 精通Python Django框架或PyQt, 熟悉源码；5. 熟悉面向对象的软件设计及设计模式，熟悉UML、数据库设计相关工具6. 精通数据模型的设计优化，熟练使用MySQL及MongoDB数据库7. 熟悉Git工作流，具备研发团队管理经验8. 熟悉Linux平台下开发、熟练使用常用Linux命令优先条件：1. 有AI包括机器学习、深度学习、大数据等研发经验，熟悉TensorFlow2. 了解HTML5/CSS3、Javascript、jQuery或VUE前端技术
                
                                        职能类别：软件工程师高级软件工程师
                                        关键字：PythonC++LinuxOpenCVMatlabDockerKubernetes
                    
        微信分享
        
        
    "
RPA/.NET/Python开发工程师,6.5-8千/月,成都-高新区  |  1年经验  |  本科  |  招1人  |  06-10发布  |  英语良好,"
        PwC Business Services (Chengdu) Co., Ltd (SDC) is operational in Chengdu on 1 July 2012.  The SDC will serve PwC China mainland and Hong Kong area.普华永道商务服务（成都）有限公司（以下简称服务中心）于2012年7月1日在成都正式投入运营。该服务中心将为普华永道中国大陆以及中国香港地区的业务提供支持服务。Job Description &   Responsibilities 1. According to the requirements of the business department, complete the development of automation tools (RPA, Excel, Word, Web automation),根据业务部门的需求，完成自动化工具（RPA、Excel、Word、Web Automation）的开发；2. Execute other I&D activities assigned by managers.完成经理分配的其他I&D部门相关的工作。Who we are looking for1. Bachelor degree or above，IT related major.本科以上的学历,计算机相关专业。2. At least one year software development experience至少一年软件开发经验3. Familiar with software engineering, master at least one programming language, such as python, C#, VBA, etc熟悉软件开发流程和方法, 掌握至少一种编程语言，例如Python,C#,VBA等4. Familiar with SQL statement and at least one database, such as SQL server, Mysql, Access, etc熟练使用SQL语句，至少熟悉一种数据库，如SQL Server ，MySql，Access等5. At least one of the following practical development experience, such as Excel, Word, RPA, Selenium, etc至少有以下一种实际开发经验，如Excel，Word，RPA，Selenium等6. Good communication ability, team assistance ability, learning ability, finish tasks on time and with quality良好的沟通能力、团队协助能力，学习能力，按时按质完成任务7. Familiar with the RPA technology such as UiPath, Blue Prism, Automation Anywhere, etc熟悉UiPath, Blue Prism, Automation Anywhere等RPA技术优先8. Familiar with Alteryx, Tableau, Power BI is preferred熟悉Alteryx，Tableau，Power BI等软件优先
                
                                        职能类别：软件工程师
                                        关键字：.NETC#pythonVBARPASQL
                    
        微信分享
        
        
    "
Python开发工程师（全职/***）,1.5-2万/月,北京-海淀区  |  1年经验  |  大专  |  招若干人  |  06-10发布,"
        1、负责根据项目的实际需要，进行技术方案的分析、选型；2、负责相关平台的日常维护和代码的持续优化工作；3、负责在系统稳健、代码质量方面，持续提供改进性意见并进行实施；4、负责产品后端架构的设计、实现、改进和优化，确保后端服务稳定、可靠、高效；5、负责上级领导安排的其他工作任务。任职要求教育背景：1、大专及以上学历，计算机或软件相关专业毕业优先经验要求：1、至少1年以上Python开发工作经验
                
                                        职能类别：Python开发工程师
                                
        微信分享
        
        
    "
Python游戏研发实习,3-4.5千/月,成都-武侯区  |  1年经验  |  大专  |  招3人  |  06-10发布,"
        岗位描述：1. 根据功能需求和设计方案进行开发，完成代码的编写和调试工作。2. 参与业务的需求讨论, 制订技术解决方案。3. 负责服务器端系统架构、性能、安全、扩展等优化的设计和实现4. 负责服务器端的持续迭代优化工作 任职要求：1.专科以上学历，有一年项目经验优先。2. 掌握一种或多种脚本语言（Javascript、Python、PHP等），熟悉 Django、Tornado 等框架者优先。3. 熟练使用MySQL、NoSQL存储系统, 熟练使用Redis优先。4. 具有良好的团队合作意识, 良好的沟通表达能力，踏实肯干，认真负责。5. 熟悉 Unix/Linux 环境，使用云服务(阿里云、腾讯云)开发和部署者优先。6. 熟悉 GIT / SVN 版本控制系统者优先。7. 熟悉设计模式，熟悉常用的数据结构和算法, 掌握面向对象开发思想。工作待遇：1、补贴福利:无责任底薪+绩效奖金，年底计发双薪，整年计发十三薪。2、薪酬福利：为员工提供富有竞争力的薪酬体系并每年对员工进行年度薪酬调整。3、社会保险：公司为员工统一购买医疗保险、工伤保险、养老保险、生育保险、失业保险、医疗保险及住房公积金。4、晋升机制：公司设立良好的晋升机制并提供内部招聘、职位轮换机会。5、成长与职业发展：人力资源部为所有岗位建立了成长模式和职业发展通道，并以顾问形式为员工提供成长建议。6、节日贺礼：公司在传统佳节派发节日礼品以增添节日气氛。7、生日派对：员工过生日公司生日派对及贺卡以表祝福。8、公司给予员工生活关怀，公司设有茶水间，休息阳台和员工休息室，提供零食柜，咖啡吧台、微波炉，冰箱等。8. 有很强的分析问题和解决问题的实践动手能力。
                
                                        职能类别：软件工程师
                                        关键字：游戏python
                    
        微信分享
        
        
    "
Python开发,1-1.4万/月,上海-浦东新区  |  3-4年经验  |  本科  |  招4人  |  06-10发布  |  英语良好,"
        1、计算机及相关专业毕业，本科及以上学历；2、3年使用Python进行web应用开发经验2、精通Python，熟悉web框架Webpy/Django/Tornado4、熟悉 Linux 操作系统，熟悉常用linux命令5、有前端开发经验优先，有虚拟化、云管理方面开发经验优先6、英语良好
                
                                        职能类别：Python开发工程师
                                        关键字：pythonweb开发WebpyDjangoTornado
                    
        微信分享
        
        
    "
Python开发工程师,0.8-1万/月,合肥-高新区  |  3-4年经验  |  本科  |  招2人  |  06-10发布,"
        岗位职责：1、搭建系统开发环境，完成系统框架和核心代码的实现，负责解决开发过程中的技术问题；2、负责Python技术的相关产品规划、需求、设计、开发、测试等研发工作；3、负责云平台相关python开发工作；4. 负责通信模块Python SDK 网路/BSP/应用 开发调试任职要求：1. 本科以上学历，能长期在合肥发展2. 熟悉python语言，熟悉linux操作系统3. 熟悉网络协议，如TCP/UDP/MQTT/HTTP/HTTPS/FTP/等，精通python下各协议lib库的使用4. 了解编译原理，虚拟机运行原理5. 了解ARM体系架构6. 了解操作系统
                
                                        职能类别：Python开发工程师
                                        关键字：python
                    
        微信分享
        
        
    "
Python开发工程师 数据挖掘,6-8千/月,北京-海淀区  |  2年经验  |  大专  |  招1人  |  06-10发布,"
        岗位职责：包括但不限于机器学习算法平台搭建，技术路线选型、算法实现、模型训练和调优、以及机器学习系统部署与整合。任职要求：1.全日制本科学历以上，计算机、数学等相关专业优先，工作2两年以上；2.精通Python编程语言，熟悉R语言。有模型部署项目经验，熟练使用flask/Django等框架。3.熟悉scikit-learn，tensorflow，xgboost，lightgbm或其他机器学习框架与算法基础，有实际项目经验。有spark sql、pyspark、spark ml的使用经验。4.熟悉Linux系统使用，shell命令和脚本，熟练使用sql语言，能够编写ETL脚本，进行模型宽表加工。5.有统计学或数值分析、算法设计实现的厚实技术基础优先
                
                                        职能类别：数据分析师Python开发工程师
                                        关键字：python数据挖掘数据分析大数据软件开发软件工程师算法
                    
        微信分享
        
        
    "
Python开发工程师,20-30万/年,上海-闵行区  |  3-4年经验  |  本科  |  招1人  |  06-10发布,"
        岗位职责：1、负责基础服务组件运维平台的开发工作；2、监控体系优化，自动化运维工具链开发；3、处理Azure、腾讯云、ucloud云等云上自动化运维工作。任职要求：1、较深度掌握linux操作系统，熟练使用shell、python，有Flask开发经验优先；2、python开发熟练，有至少一个以上项目开发经验，熟悉flask web、sqlalchemy；3、安全/数据库（mysql）/虚拟化和容器/自动化运维，至少具备二项在海量环境下的独立运维能力；4、掌握常见开源服务nginx、redis、mysql、prometheus、elasticsearch、rabbitMQ的部署和配置优化；5、了解ansible，saltstack其中至少一种自动化运维工具；6、高度责任感及团队精神、良好的学习能力及较强的问题解决能力、良好的沟通推动能力。7、统招本科以上学历，计算机或相关专业；3-5年开发经验。
                
                                        职能类别：Python开发工程师
                                        关键字：pythonlinuxshellredismysql
                    
        微信分享
        
        
    "
Python开发工程师,0.8-1万/月,苏州-相城区  |  2年经验  |  本科  |  招若干人  |  06-10发布,"
        1、配合业务顾问进行需求分析，提供技术解决方案;2、根据业务需求进行功能和流程的设计、开发、测试;3、完成领导布置的其他工作。任职要求：1、本科及以上学历，计算机信息技术、软件信息等专业;2、了解各种开发模式及,flask框架，tornado框架，了解Python库3、了解HTML 5, CSS 3, JavaScript，了解gitee等代码管理工具;4、学习能力强，强烈的工作责任心，良好的沟通能力，善于思考，时间观念强。5、了解Odoo.com 相关开发
                
                                        职能类别：Python开发工程师软件工程师
                                
        微信分享
        
        
    "
Python工程师,0.5-1万/月,苏州-工业园区  |  在校生/应届生  |  本科  |  招2人  |  06-10发布,"
        岗位职责：1、主要从事数据分析，后端开发及前后端对接；2、根据产品具体要求，承担开发任务，按计划完成任务目标；3、负责公司项目Python开发、功能及性能测试；4、参与产品接口设计与开发；任职要求：1、本科以上学历，数学、计算机、物理专业优先；2、经验不限，相关专业的应届生亦可；3、熟练掌握Python编程，熟悉网络协议，熟悉多线程编程；4、熟悉django/flask框架；编程规范；5、数据结构专业知识扎实；6、勤奋好学，责任心强，具有良好的交流与沟通能力，有团队精神；
                
                                        职能类别：Python开发工程师算法工程师
                                        关键字：python软件开发django开发web算法
                    
        微信分享
        
        
    "
